,0,1,2,3,4,K,cost,epochs,gamma,lr
0,20.0,15.0,100.0,0.025,2.6108020034982333,,,,,
0,20.0,15.0,100.0,0.05,2.7076665853882003,,,,,
0,20.0,15.0,100.0,0.075,2.80573380533084,,,,,
0,20.0,15.0,125.0,0.025,2.665536576940409,,,,,
0,20.0,15.0,125.0,0.05,2.7379077706316273,,,,,
0,20.0,15.0,125.0,0.075,2.8587680641526236,,,,,
0,20.0,15.0,150.0,0.025,2.650230817650551,,,,,
0,20.0,15.0,150.0,0.05,2.806437734849451,,,,,
0,20.0,15.0,150.0,0.075,2.9365277744489076,,,,,
0,20.0,20.0,100.0,0.025,2.850596983649765,,,,,
0,20.0,20.0,100.0,0.05,2.583247353454598,,,,,
0,20.0,20.0,100.0,0.075,2.386371858752506,,,,,
0,20.0,20.0,125.0,0.025,2.7602053023017654,,,,,
0,20.0,20.0,125.0,0.05,2.4481158532942557,,,,,
0,20.0,20.0,125.0,0.075,2.25997904601544,,,,,
0,20.0,20.0,150.0,0.025,2.6548335784233505,,,,,
0,20.0,20.0,150.0,0.05,2.360056774770597,,,,,
0,20.0,20.0,150.0,0.075,2.1465384504509766,,,,,
0,20.0,25.0,100.0,0.025,16.418629663192995,,,,,
0,20.0,25.0,100.0,0.05,14.762691574801263,,,,,
0,20.0,25.0,100.0,0.075,13.373010056761078,,,,,
0,20.0,25.0,125.0,0.025,15.9302812646103,,,,,
0,20.0,25.0,125.0,0.05,14.225673547226679,,,,,
0,20.0,25.0,125.0,0.075,12.398356171890669,,,,,
0,20.0,25.0,150.0,0.025,16.229586476232576,,,,,
0,20.0,25.0,150.0,0.05,13.459053759526912,,,,,
0,20.0,25.0,150.0,0.075,11.461371614634993,,,,,
0,25.0,15.0,100.0,0.025,4.046156628160514,,,,,
0,25.0,15.0,100.0,0.05,4.150913713134118,,,,,
0,25.0,15.0,100.0,0.075,4.241841240938606,,,,,
0,25.0,15.0,125.0,0.025,4.093022747138757,,,,,
0,25.0,15.0,125.0,0.05,4.19997732631224,,,,,
0,25.0,15.0,125.0,0.075,4.354386293449795,,,,,
0,25.0,15.0,150.0,0.025,4.08741309937712,,,,,
0,25.0,15.0,150.0,0.05,4.236103234430889,,,,,
0,25.0,15.0,150.0,0.075,4.4296943386904495,,,,,
0,25.0,20.0,100.0,0.025,1.4350733362185515,,,,,
0,25.0,20.0,100.0,0.05,1.4204595668288778,,,,,
0,25.0,20.0,100.0,0.075,1.422751020290693,,,,,
0,25.0,20.0,125.0,0.025,1.4594164548776274,,,,,
0,25.0,20.0,125.0,0.05,1.4352752860429558,,,,,
0,25.0,20.0,125.0,0.075,1.4536470168184046,,,,,
0,25.0,20.0,150.0,0.025,1.4358097870662154,,,,,
0,25.0,20.0,150.0,0.05,1.4321711141550753,,,,,
0,25.0,20.0,150.0,0.075,1.4317255481263806,,,,,
0,25.0,25.0,100.0,0.025,6.8208588286611,,,,,
0,25.0,25.0,100.0,0.05,6.0134702866977765,,,,,
0,25.0,25.0,100.0,0.075,5.435951814594562,,,,,
0,25.0,25.0,125.0,0.025,6.754205122836931,,,,,
0,25.0,25.0,125.0,0.05,5.753672261724592,,,,,
0,25.0,25.0,125.0,0.075,5.048846946744525,,,,,
0,25.0,25.0,150.0,0.025,6.581067373683444,,,,,
0,25.0,25.0,150.0,0.05,5.630114700439955,,,,,
0,25.0,25.0,150.0,0.075,4.660499214804347,,,,,
0,30.0,15.0,100.0,0.025,5.348477720857932,,,,,
0,30.0,15.0,100.0,0.05,5.5047882181440455,,,,,
0,30.0,15.0,100.0,0.075,5.551552795190951,,,,,
0,30.0,15.0,125.0,0.025,5.406174150739887,,,,,
0,30.0,15.0,125.0,0.05,5.511598967119134,,,,,
0,30.0,15.0,125.0,0.075,5.63138001390908,,,,,
0,30.0,15.0,150.0,0.025,5.3997736769569205,,,,,
0,30.0,15.0,150.0,0.05,5.571167608818095,,,,,
0,30.0,15.0,150.0,0.075,5.676757706997821,,,,,
0,30.0,20.0,100.0,0.025,1.6731322285069132,,,,,
0,30.0,20.0,100.0,0.05,1.7182452664458834,,,,,
0,30.0,20.0,100.0,0.075,1.8217241451197272,,,,,
0,30.0,20.0,125.0,0.025,1.6921568881502589,,,,,
0,30.0,20.0,125.0,0.05,1.7714255703384032,,,,,
0,30.0,20.0,125.0,0.075,1.8713402647677688,,,,,
0,30.0,20.0,150.0,0.025,1.709350282601995,,,,,
0,30.0,20.0,150.0,0.05,1.8088496800196479,,,,,
0,30.0,20.0,150.0,0.075,1.9267582739175977,,,,,
0,30.0,25.0,100.0,0.025,3.015117371419507,,,,,
0,30.0,25.0,100.0,0.05,2.71861544558743,,,,,
0,30.0,25.0,100.0,0.075,2.4463460656180405,,,,,
0,30.0,25.0,125.0,0.025,2.9521862267073855,,,,,
0,30.0,25.0,125.0,0.05,2.571077066185289,,,,,
0,30.0,25.0,125.0,0.075,2.2718486004011864,,,,,
0,30.0,25.0,150.0,0.025,2.9371594112952293,,,,,
0,30.0,25.0,150.0,0.05,2.4944152346568123,,,,,
0,30.0,25.0,150.0,0.075,2.154901136405593,,,,,
